label	step	epoch	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	0	0.0	0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	16	0.5245901639344263	0.37	0.72	0.85	0.695	0.601	-0.0040000000000000036
checkpoint-32	32	1.0491803278688525	0.37	0.73	0.85	0.705	0.605	0.0
checkpoint-48	48	1.5737704918032787	0.3825	0.73	0.85	0.71	0.611	0.006000000000000005
checkpoint-64	64	2.098360655737705	0.375	0.73	0.85	0.7	0.606	0.0010000000000000009
checkpoint-80	80	2.6229508196721314	0.3875	0.73	0.855	0.71	0.614	0.009000000000000008
checkpoint-96	96	3.1475409836065573	0.38	0.725	0.855	0.705	0.609	0.0040000000000000036
checkpoint-112	112	3.6721311475409837	0.38	0.73	0.85	0.7	0.608	0.0030000000000000027
checkpoint-128	128	4.19672131147541	0.3825	0.72	0.855	0.7	0.608	0.0030000000000000027
checkpoint-144	144	4.721311475409836	0.3875	0.725	0.855	0.705	0.612	0.007000000000000006
checkpoint-150	150	4.918032786885246	0.39	0.725	0.855	0.705	0.613	0.008000000000000007
final	150	4.918032786885246	0.39	0.725	0.855	0.705	0.613	0.008000000000000007
